Name,Sensitivity,Specificity,Time,Date,Area,Technology,Entity,Type,Latitude,Longitude,number,
2019-nCoV nucleic acid detection kit  (Combined probe anchored polymer sequencing),0.99,0.99,22,2020-01-26,China,Molecular,Huada Biotechnology Wu Han,Viral tests,114.02919,30.58203,1,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-01-26,China,Molecular,Shang Hai Zhi Jiang,Viral tests,121.48941,31.40527,1,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-01-26,China,Molecular,Shang Hai Jie Nuo,Viral tests,121.48941,31.40527,2,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-01-26,China,Molecular,Huada Biotechnology Wu Han,Viral tests,114.02919,30.58203,2,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-01-28,China,Molecular,Da'an gene of Sun Yat sen University,Viral tests,113.27324,23.15792,1,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-01-28,China,Molecular,Sansure BioTech Inc.,Viral tests,112.98626,28.25591,1,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-01-30,China,Molecular,Bojie medical technology,Viral tests,116.224,39.4286,1,
CDC 2019-Novel Coronavirus (2019-nCoV) Real-Time RT-PCR Diagnostic Panel,1,1,2.5,2020-02-04,U.S.A,Molecular,CDC,Viral tests,-80.416667,33.766667,1,
2019-nCoV antibody detection kit  (Colloidal gold method),0.99,0.99,0.25,2020-02-22,China,Antigen,GuangZhou Wanfu Biotechnology,antibody tests,113.27324,23.15792,2,
Six respiratory virus nucleic acid detection kits (Constant temperature amplification chip method),0.99,0.99,1.5,2020-02-22,China,Molecular,Chengdu Bo Ao Jingxin Biotechnology,Viral tests,104.10194,30.65984,1,
2019-nCoV nucleic acid detection kit( PCR),0.99,0.99,2.5,2020-02-27,China,Molecular,Beijing Zhuo Cheng Huisheng Biotechnology,Viral tests,116.23128,40.22077,1,
2019-nCoV IgG antibody detection kit (Magnetic particle chemiluminescence),0.961,0.9241,0.5,2020-02-29,China,Serology IgG only,Chongqing Bo Ao Saisi Biotechnology,antibody tests,106.54041,29.40268,1,
2019-nCoV IgM antibody detection kit  (Colloidal gold method),0.7024,0.962,0.5,2020-02-29,China,Serology IgM only,Chongqing Bo Ao Saisi Biotechnology,antibody tests,106.54041,29.40268,2,
New York SARS-CoV-2 Real-time Reverse Transcriptase (RT)-PCR Diagnostic Panel,1,1,2.5,2020-02-29,U.S.A,Molecular,"Wadsworth Center, NYSDOH",Viral tests,-74.0059731,40.7143528,1,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-03-01,China,Molecular,Mike Biotechnology,Viral tests,104.10194,30.65984,1,
2019-nCoV IgM antibody detection kit  (Colloidal gold method),0.8866,0.9063,0.25,2020-03-11,China,Serology IgM only,Guangdong Hexin,antibody tests,113.27324,23.15792,3,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-03-12,China,Molecular,Wuhan Mingde Biotechnology,Viral tests,114.02919,30.58203,3,
cobas SARS-CoV-2,1,1,2.5,2020-03-12,U.S.A,Molecular,"Roche Molecular Systems, Inc. (RMS)",Viral tests,-0.0166667,52.966667,1,
2019-nCoV)IgM-IgG antibody detection kit  (Colloidal gold method),0.8866,0.9063,0.25,2020-03-13,China,Serology IgM and IgG,Nan jing Nuo Weizan Medical Technology,antibody tests,118.8921,31.32751,1,
TaqPath COVID-19 Combo Kit,1,1,2.5,2020-03-13,U.S.A,Molecular,"Thermo Fisher Scientific, Inc.",Viral tests,-0.0166667,52.966667,2,
2019-nCoV IgM-IgG antibody detection kit  (Colloidal gold method),0.8866,0.9063,0.25,2020-03-14,China,Serology IgM and IgG,"Zhuhai Lizhu Reagent Co., Ltd ",antibody tests,113.29673,22.20907,1,
2019-nCoV nucleic acid detection kit  (Constant temperature amplification-real time fluorescence method),0.99,0.99,1.5,2020-03-16,China,Molecular,Hangzhou yousida Biotechnology,Viral tests,120.21201,30.2084,1,
COVID-19 RT-PCR Test,1,1,2.5,2020-03-16,U.S.A,Molecular,Laboratory Corporation of America,Viral tests,-91.125506,40.783225,1,
Panther Fusion SARS-CoV-2 Assay,1,1,2.5,2020-03-16,U.S.A,Molecular,"Hologic, Inc.",Viral tests,-78.6,40.083,1,
Lyra SARS-CoV-2 Assay,1,1,2.5,2020-03-17,U.S.A,Molecular,Quidel Corp.,Viral tests,-117.05,32.7166667,1,
Quest SARS-CoV-2 rRT-PCR,1,1,2.5,2020-03-17,U.S.A,Molecular,"Quest Diagnostics Infectious Disease, Inc.",Viral tests,-74.06208,40.783333,1,
Abbott RealTime?SARS-CoV-2 assay,1,1,2.5,2020-03-18,U.S.A,Molecular,Abbott Molecular,Viral tests,-87.6833,41.85,1,
2019-nCoV antibody detection kit (Magnetic particle chemiluminescence),0.8866,0.9063,0.5,2020-03-19,China,Antigen,Xiamen Wantai Kairui Biotechnology,antibody tests,118.03394,24.48405,1,
2019-nCoV IgM-IgG antibody detection kit  (Colloidal gold method),0.8866,0.9063,0.25,2020-03-19,China,Serology IgM and IgG,Ying nuote (Tangshan) Biotechnology ,antibody tests,118.46023,39.27313,1,
ePlex SARS-CoV-2 Test,1,1,2.5,2020-03-19,U.S.A,Molecular,"GenMark Diagnostics, Inc.",Viral tests,-118.6494,33.158,1,
Simplexa COVID-19 Direct,1,1,2.5,2020-03-19,U.S.A,Molecular,DiaSorin Molecular LLC,Viral tests,-118.0333,33.816667,1,
Primerdesign Ltd COVID-19 genesig Real-Time PCR assay,1,1,2.5,2020-03-20,U.S.A,Molecular,Primerdesign Ltd,Viral tests,113.27324,113.27324,1,.。
Xpert Xpress SARS-CoV-2 test,1,1,2.5,2020-03-20,U.S.A,Molecular,Cepheid,Viral tests,-122.0333,37.366667,1,
Accula SARS-Cov-2 Test,1,1,2.5,2020-03-23,U.S.A,Molecular,Mesa Biotech Inc.,Viral tests,-117.16667,32.73333,1,
BioFire COVID-19 Test,1,1,2.5,2020-03-23,U.S.A,Molecular,"BioFire Defense, LLC",Viral tests,-111.96667,40.76667,1,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-03-24,China,Molecular,Shanghai Fuxing Changzheng,Viral tests,121.48941,31.40527,3,
2019-nCoV nucleic acid detection kit  (Hybrid capture immunofluorescence),0.99,0.99,0.75,2020-03-24,China,Molecular,Xiamen Anbang Biotechnology,Viral tests,118.03394,24.48405,2,
PerkinElmer New Coronavirus Nucleic Acid Detection Kit,1,1,2.5,2020-03-24,U.S.A,Molecular,"PerkinElmer, Inc.",Viral tests,-71.2333,42.38333,1,
AvellinoCoV2 test,1,1,2.5,2020-03-25,U.S.A,Molecular,"Avellino Lab USA, Inc.",Viral tests,-122.18333,37.45,1,
2019-nCoV nucleic acid detection kit  (RNA capture probe method ),0.99,0.99,1.5,2020-03-26,China,Molecular,Shanghai Rendu Biotechnology,Viral tests,121.48941,31.40527,4,
Real-Time Fluorescent RT-PCR Kit for Detecting SARS-CoV-2,1,1,2.5,2020-03-26,China,Molecular,BGI Genomics Co. Ltd,Viral tests,113.27324,113.27324,4,深圳
ID NOW COVID-19,1,1,2.5,2020-03-27,U.S.A,Molecular,"Abbott Diagnostics Scarborough, Inc.",Viral tests,113.27324,113.27324,1,.。。
NxTAG CoV Extended Panel Assay,1,1,2.5,2020-03-27,U.S.A,Molecular,"Luminex Molecular Diagnostics, Inc.",Viral tests,-79.41667,43.6667,1,加拿大
NeuMoDx SARS-CoV-2 Assay,1,1,2.5,2020-03-30,U.S.A,Molecular,"NeuMoDx Molecular, Inc.",Viral tests,-83.75,42.28333,1,
QIAstat-Dx Respiratory SARS-CoV-2 Panel,1,1,2.5,2020-03-30,German,Molecular,QIAGEN GmbH,Viral tests,-6.9333,51.166,1,German
2019-nCoV nucleic acid detection kit  (Double amplification),0.99,0.99,1.5,2020-03-31,Canada,Molecular,Wuhan Zhongzhi Biotechnology ,Viral tests,114.02919,30.58203,3,
2019-nCoV nucleic acid detection kit  (RNA constant temperature amplification-gold probe chromatography ),0.99,0.99,1.5,2020-03-31,China,Molecular,Wuhan Zhongzhi Biotechnology ,Viral tests,114.02919,30.58203,4,
COV-19 IDx assay,1,1,2.5,2020-04-01,U.S.A,Molecular,"Ipsum Diagnostics, LLC",Viral tests,-84.4333,33.65,1,
qSARS-CoV-2 IgG-IgM Rapid Test,0.9375,0.964,0.25,2020-04-01,U.S.A,Serology IgM and IgG,Cellex Inc.,antibody tests,-70.8499,42.4947,1,
BioGX SARS-CoV-2 Reagents for BD MAX System,1,1,2.5,2020-04-02,U.S.A,Molecular,"Becton, Dickinson & Company (BD)",Viral tests,-100.9,29.36667,1,
2019-nCoV nucleic acid detection kit  (fluorescent PCR),0.99,0.99,2.5,2020-04-03,China,Molecular,Beijing Jinhao Pharmaceutical,Viral tests,116.224,39.4286,2,
ARIES SARS-CoV-2 Assay,1,1,2.5,2020-04-03,U.S.A,Molecular,Luminex Corporation,Viral tests,-97.7,30.3,1,
Logix Smart Coronavirus Disease 2019 (COVID-19) Kit,1,1,1.25,2020-04-03,U.S.A,Molecular,"Co-Diagnostics, Inc.",Viral tests,-111.96667,40.76667,2,
ScienCell SARS-CoV-2 Coronavirus Real-time RT-PCR (RT-qPCR) Detection Kit,1,1,2.5,2020-04-03,U.S.A,Molecular,ScienCell Research Laboratories,Viral tests,-104.26667,30.333,1,
